JobId,Title,Employer
150483,Short Term Expert for Comprehensive Analysis On Extractives,11.12.2023 | AFRICAN TAX ADMINISTRATION FORUM (ATAF)
150625,Tax Audit Specialist for the Agro-Processing Sector,11.12.2023 | AFRICAN TAX ADMINISTRATION FORUM (ATAF)
150739,Tigercat Feller Buncher Operator,11.12.2023 | EDGE PERSONNEL
150740,Procurement Officer,11.12.2023 | DESTINY WORK RECRUITMENT
150741,Commercial Manager,11.12.2023 | EDGE PERSONNEL
150742,Account Clerk,11.12.2023 | DESTINY WORK RECRUITMENT
150825,Software Developer,11.12.2023 | VIRTUAL INTELLIGENCE SOLUTIONS
151044,Systems Administrator,11.12.2023 | HR RECRUITMENTS
151181,HELPDESK INTERN,11.12.2023 | SYLVERSYS
151324,Store Manager,11.12.2023 | YEMANUEL STORE
151743,Short-Term Expert/ In Depth Study On Digitisation,11.12.2023 | AFRICAN TAX ADMINISTRATION FORUM (ATAF)
151969,French/Spanish Teacher,11.12.2023 | TENDER CARE SCHOOL
151977,Mechanical Engineer,11.12.2023 | FAE LIMITED
152048,Long Term Research Expert Development of Data and Analytical System,11.12.2023 | AFRICAN TAX ADMINISTRATION FORUM (ATAF)
152070,Security Officer / Guard,11.12.2023 | D.S. CONSTRUCTION LIMITED
152087,Marketing Internship - T2G,11.12.2023 | BIZ4D
152100,Primary School Director and Teacher,11.12.2023 | MISSION AFRICA INSTITUTE OF TECHNOLOGY
152101,ICT Lead Instructor/Social Media Assistant,11.12.2023 | MISSION AFRICA INSTITUTE OF TECHNOLOGY
152105,Content Leader/Social Media Marketing Coordinator/Website Designer,11.12.2023 | MISSION AFRICA INSTITUTE OF TECHNOLOGY
152151,Document Controller,11.12.2023 | ARCHTYPE GROUP
152154,Business Development Officer,11.12.2023 | HCOWA GHANA LIMITED COMPANY
152266,Intern/Product Design - Full Remote (Africa),11.12.2023 | AMAZETHU
152461,Income Tax Specialist,11.12.2023 | AFRICAN TAX ADMINISTRATION FORUM (ATAF)
152462,Transfer Pricing Specialist,11.12.2023 | AFRICAN TAX ADMINISTRATION FORUM (ATAF)
152550,Student Recruitment Officer,11.12.2023 | PUNZILA EDUCATIONAL SERVICES
152642,Medical Representative,11.12.2023 | PHYTO-RIKER PHARMACEUTICALS LIMITED
152795,Administrative Assistant,11.12.2023 | AQUA SMILE
152942,Online Tutors,11.12.2023 | EDUCIFY INC.
152991,POS Technician,11.12.2023 | PYSMA GROUP GHANA
153081,Sales Representative,11.12.2023 | BAOBAB TECHNOLOGY
153082,Marketing Director,11.12.2023 | BAOBAB TECHNOLOGY
153248,Maintenance Manager for a Photovoltaic Solar Power Plant,11.12.2023 | AUTOLUYE
153354,Sales Agent,11.12.2023 | HERMES-SOFT TECHNOLOGIES
153403,Website Portfolio Manager,11.12.2023 | TRUSTED FOLKS IT SOLUTIONS
153412,French Sales Officer,11.12.2023 | SASA B2E MANAGEMENT SARL
153390,"Manager, Finance and Operations",11.12.2023 | ENGENDERHEALTH
153393,Chief of Party (COP),11.12.2023 | ENGENDERHEALTH
153034,"PEO Solutions Consultant, EMEA",08.12.2023 | DEEL
153040,Senior Global Benefits and Leave of Absence Partner,08.12.2023 | DEEL
153048,"Senior HR Business Partner, Operations",08.12.2023 | DEEL
153052,"Analyst, Mobility - EMEA",08.12.2023 | DEEL
153053,"Associate Director, Go-to-Market Strategic Operations",08.12.2023 | DEEL
152983,Head of Data Analytics,07.12.2023 | PLAYRIX
152985,Machine Learning Engineer,07.12.2023 | PLAYRIX
152986,Lead Data Analyst,07.12.2023 | PLAYRIX
152987,Technical Director (Game Project),07.12.2023 | PLAYRIX
152988,Senior C++ Developer (Technical),07.12.2023 | PLAYRIX
153374,General Manager,06.12.2023 | THE CAPITAL GROUP LTD
153375,Electrical Engineer,06.12.2023 | THE CAPITAL GROUP LTD
153371,Facilities and Administration Supervisor,06.12.2023 | THE CAPITAL GROUP LTD
153372,Direct Sales Executive,06.12.2023 | THE CAPITAL GROUP LTD
153370,Accountant,06.12.2023 | THE CAPITAL GROUP LTD
152908,"Blockchain Core Developer/Go, Solidity",06.12.2023 | SPECTRUM SEARCH
152909,Software Engineer (Virtualisation &amp; DevOps),06.12.2023 | SPECTRUM SEARCH
152910,Head of Engineering,06.12.2023 | SPECTRUM SEARCH
152913,Senior Interactive UI/UX Designer,06.12.2023 | SPECTRUM SEARCH
152914,Senior Product Designer (Web3),06.12.2023 | SPECTRUM SEARCH
152804,Executive Assistant with Specialisation in Communication,05.12.2023 | HAPAG-LLOYD AG
152805,Senior Manager Human Resources,05.12.2023 | HAPAG-LLOYD AG
152806,Senior Manager Area Controlling &amp; Performance,05.12.2023 | HAPAG-LLOYD AG
152807,Director Operations,05.12.2023 | HAPAG-LLOYD AG
152657,Senior Warehouse Supervisor,02.12.2023 | NEWMONT
152659,Senior Mining Applications Specialist,02.12.2023 | NEWMONT
152660,Senior Control Systems Engineer,02.12.2023 | NEWMONT
152661,Control Systems Technical Specialist II,02.12.2023 | NEWMONT
152601,Senior DBA,01.12.2023 | SPORTY GROUP
152602,Backend Engineer,01.12.2023 | SPORTY GROUP
152603,IOS Engineer,01.12.2023 | SPORTY GROUP
152540,Strategy &amp; Administration Specialist - Talent &amp; Culture,30.11.2023 | WIKIMEDIA FOUNDATION
152542,Senior Financial Analyst,30.11.2023 | WIKIMEDIA FOUNDATION
152543,"Product Manager, Mobile Apps",30.11.2023 | WIKIMEDIA FOUNDATION
152447,Country Manager Kalabash - Ghana,29.11.2023 | WAKANOW
152448,"Operations Manager, Anglophone",29.11.2023 | WAKANOW
152449,Assistant Finance Manager,29.11.2023 | WAKANOW
152450,Customer Service Agent,29.11.2023 | WAKANOW
152451,Visa Associate,29.11.2023 | WAKANOW
32051,Logistics Manager,25.11.2023 | AFRICAWORK
32968,Product Designer,25.11.2023 | AFRICAWORK
33701,Finance &amp; Accounting Specialist,25.11.2023 | AFRICAWORK
33702,Director of Sales,25.11.2023 | AFRICAWORK
33924,Production Coordinator,25.11.2023 | AFRICAWORK
33969,Quality Assurance Manager,25.11.2023 | AFRICAWORK
34033,Purchase Executive,25.11.2023 | AFRICAWORK
34078,Production Coordinator,25.11.2023 | AFRICAWORK
34437,Data Analyst,25.11.2023 | AFRICAWORK
42944,IT Manager,25.11.2023 | AFRICAWORK
49311,Data Scientist,25.11.2023 | AFRICAWORK
152136,HCM Senior Consultant,24.11.2023 | SAVANT RECRUITMENT EXPERTS
152141,Vlocity/Salesforce Developer,24.11.2023 | SAVANT RECRUITMENT EXPERTS
152146,Bss/Oss Enterprise Architect,24.11.2023 | SAVANT RECRUITMENT EXPERTS
152147,UX/UI Designer,24.11.2023 | SAVANT RECRUITMENT EXPERTS
152010,Software Test Engineers,22.11.2023 | HYQOO
152011,Cloud Engineer Azure,22.11.2023 | HYQOO
152012,Python Developer,22.11.2023 | HYQOO
152015,AWS Cloud Development Engineer,22.11.2023 | HYQOO
151909,Service Engineer,21.11.2023 | MAN ENERGY SOLUTIONS
151910,Technician,21.11.2023 | MAN ENERGY SOLUTIONS
151914,Superintendent Engineer,21.11.2023 | MAN ENERGY SOLUTIONS
151916,Senior Service Engineer,21.11.2023 | MAN ENERGY SOLUTIONS
151787,Director of Product,18.11.2023 | REMOTE
151788,"Sales Lead, Global Payroll",18.11.2023 | REMOTE
151791,Direct Tax Assistant,18.11.2023 | REMOTE
151792,Sr Product Marketing Manager (T&amp;J),18.11.2023 | REMOTE
32736,Research Scientist,17.11.2023 | AFRICAWORK
151729,Senior Backend Engineer,17.11.2023 | PRIORITY CRYPTO
151741,Chief Technology Officer,17.11.2023 | PRIORITY CRYPTO
151742,Head of Blockchain,17.11.2023 | PRIORITY CRYPTO
151745,Product Lead,17.11.2023 | PRIORITY CRYPTO
151681,Security Automation Engineer,16.11.2023 | ICEBERG CYBER SECURITY
151682,Security Software Developer,16.11.2023 | ICEBERG CYBER SECURITY
151683,Senior Digital Forensics Consultant,16.11.2023 | ICEBERG CYBER SECURITY
151684,Business Development Manager,16.11.2023 | ICEBERG CYBER SECURITY
151309,Area Manager,11.11.2023 | RELIEF INTERNATIONAL
151310,Country Director,11.11.2023 | RELIEF INTERNATIONAL
151314,Deputy Country Director,11.11.2023 | RELIEF INTERNATIONAL
151315,Global Procurement Manager,11.11.2023 | RELIEF INTERNATIONAL
151316,Health Program Manager,11.11.2023 | RELIEF INTERNATIONAL
151263,Channel Partner Manager,10.11.2023 | HENDERSON SCOTT
151265,Senior Full Stack  Engineer  - PYTHON/TYPESCRIPT,10.11.2023 | HENDERSON SCOTT
151266,"Business Development Manager - Up To £150,000 OTE  Remote",10.11.2023 | HENDERSON SCOTT
151033,.Net Team Lead,08.11.2023 | CLEARSCALE
151035,L2 Support Engineer,08.11.2023 | CLEARSCALE
151036,Lead Java Developer,08.11.2023 | CLEARSCALE
151040,MSP L1 Support Engineer,08.11.2023 | CLEARSCALE
150972,Events Coordinator,07.11.2023 | ACCOR
150973,Assistant Sales &amp; Marketing Manager,07.11.2023 | ACCOR
150974,Security Officer,07.11.2023 | ACCOR
150979,Directeur Commercial Et Marketing,07.11.2023 | ACCOR
150804,Software Sales Consultant – IT Software Services,04.11.2023 | REXUS GROUP
150805,Global Account Manager (IT Infrastructure &amp; IT Services),04.11.2023 | REXUS GROUP
150806,HR &amp; Digital Marketing,04.11.2023 | REXUS GROUP
150807,Business Consultant (Business &amp; Strategy),04.11.2023 | REXUS GROUP
150813,Sales Director (EMEA),04.11.2023 | PLEXUS RESOURCE SOLUTIONS
150816,Senior Backend Engineer,04.11.2023 | PLEXUS RESOURCE SOLUTIONS
150817,Senior Frontend Engineer,04.11.2023 | PLEXUS RESOURCE SOLUTIONS
150818,Smart Contract Engineer,04.11.2023 | PLEXUS RESOURCE SOLUTIONS
150745,Software Engineers - Elastic Community Invite,03.11.2023 | DISTRIBUTED
150746,DevOps Engineer,03.11.2023 | DISTRIBUTED
150747,.NET Engineers,03.11.2023 | DISTRIBUTED
150748,Scala Developers,03.11.2023 | DISTRIBUTED
150659,SAP ABAP Consultant (M/F) - Remote Work/on Site,02.11.2023 | AFRICASHORE
150660,SAP FI-CO/PS Consultant (M/F) - Remote Work/on Site,02.11.2023 | AFRICASHORE
150661,SAP EHS Consultant (M/F) - Remote Work/on Site,02.11.2023 | AFRICASHORE
150663,SAP MM/SD/EWM/PP/QM/CAR Consultant (M/F) - Remote Work/on Site,02.11.2023 | AFRICASHORE
150664,Lead Java JEE Developer (M/F) - Remote Work/on Site,02.11.2023 | AFRICASHORE
150563,Product Design Manager,01.11.2023 | REMOTE
150565,QA Engineer,01.11.2023 | REMOTE
150568,"Associate Team Lead, Engineering",01.11.2023 | REMOTE
150571,Engineering Manager,01.11.2023 | REMOTE
150442,Electrical Technician,31.10.2023 | GB FOODS
150444,"Category Manager, Africa",31.10.2023 | GB FOODS
150445,Development Project Manager (Food Industry),31.10.2023 | GB FOODS
150231,Regional General Manager,28.10.2023 | ROBERT WALTERS
150232,Engineering Manager,28.10.2023 | ROBERT WALTERS
150234,"Group Head, Internal Auditor",28.10.2023 | ROBERT WALTERS
33178,Director of Sales,27.10.2023 | AFRICAWORK
33179,Business Development Manager,27.10.2023 | AFRICAWORK
33727,HR Associate,27.10.2023 | AFRICAWORK
33734,Head of Marketing,27.10.2023 | AFRICAWORK
34263,HR Director,27.10.2023 | AFRICAWORK
41682,Client Relationship Advisor,27.10.2023 | AFRICAWORK
46057,Purchasing Analyst,27.10.2023 | AFRICAWORK
49210,Web Designer,27.10.2023 | AFRICAWORK
50863,Credit Manager,27.10.2023 | AFRICAWORK
109015,Director of Production &amp; Supply Chain,27.10.2023 | AFRICAWORK
150048,Project Officer Sr - IWARC (Ghanaian Nationals Only),26.10.2023 | CATHOLIC RELIEF SERVICES
150049,"Business Development Specialist II, Ghana",26.10.2023 | CATHOLIC RELIEF SERVICES
150050,EMPOWER West Africa Emergency Program Quality and Business Development,26.10.2023 | CATHOLIC RELIEF SERVICES
150051,WARO Regional Risk and Compliance Manager,26.10.2023 | CATHOLIC RELIEF SERVICES
149874,UX/UI Designer,25.10.2023 | QUADCODE
149878,Application Security Analyst (Banking Team),25.10.2023 | QUADCODE
149881,Chief Architect,25.10.2023 | QUADCODE
149885,Data Analyst,25.10.2023 | QUADCODE
148184,ANGULAR Developer (M/F),12.10.2023 | AFRICASHORE
148185,DevOps Engineer (M/F),12.10.2023 | AFRICASHORE
148186,DOTNET Developer (M/F),12.10.2023 | AFRICASHORE
148187,IOS Developer (M/F),12.10.2023 | AFRICASHORE
148188,JAVA Developer (M/F),12.10.2023 | AFRICASHORE
148189,JAVA JEE Developer (M/F),12.10.2023 | AFRICASHORE
148190,JAVASCRIPT Developer (M/F),12.10.2023 | AFRICASHORE
148191,KOTLIN Developer (M/F),12.10.2023 | AFRICASHORE
148192,LARAVEL Developer (M/F),12.10.2023 | AFRICASHORE
148193,NODE.JS Developer (M/F),12.10.2023 | AFRICASHORE
148194,OBJECTIVE-C Developer (M/F),12.10.2023 | AFRICASHORE
148195,PHP Developer (M/F),12.10.2023 | AFRICASHORE
148196,PYTHON Developer (M/F),12.10.2023 | AFRICASHORE
148197,QA Tester (M/F),12.10.2023 | AFRICASHORE
148198,REACT Developer (M/F),12.10.2023 | AFRICASHORE
148199,RUBY ON RAILS Developer (M/F),12.10.2023 | AFRICASHORE
148200,SWIFT Developer (M/F),12.10.2023 | AFRICASHORE
148201,Test and Validation Engineer (M/F),12.10.2023 | AFRICASHORE
148202,Test Automation Engineer (M/F),12.10.2023 | AFRICASHORE
148203,UX / UI Designer (M/F),12.10.2023 | AFRICASHORE
148204,AWS Cloud Architect (M/F),12.10.2023 | AFRICASHORE
148205,AWS Solutions Architect (M/F),12.10.2023 | AFRICASHORE
148206,AZURE Solutions Architect (M/F),12.10.2023 | AFRICASHORE
148207,Cloud Architect (M/F),12.10.2023 | AFRICASHORE
148208,Cloud Computing and Virtualization Engineer (M/F),12.10.2023 | AFRICASHORE
148209,Cloud Engineer (M/F),12.10.2023 | AFRICASHORE
148210,Cloud Microservices Architect (M/F),12.10.2023 | AFRICASHORE
148211,Cloud System Administrator (M/F),12.10.2023 | AFRICASHORE
148212,Cloud System Integrator (M/F),12.10.2023 | AFRICASHORE
148213,Cyber Security Engineer (M/F),12.10.2023 | AFRICASHORE
148214,DATASTAGE Architect (M/F),12.10.2023 | AFRICASHORE
148215,GENESYS Architect (M/F),12.10.2023 | AFRICASHORE
148216,Network Architect (M/F),12.10.2023 | AFRICASHORE
148217,DBA IMS/DB2 Z/OS(M/F),12.10.2023 | AFRICASHORE
148218,Z/OS System Engineer Senior Storage(M/F),12.10.2023 | AFRICASHORE
148219,Middleware System Engineer Z/OS (M/F),12.10.2023 | AFRICASHORE
